kecamatan,jumlah_keluarga,jumlah_keluarga_sasaran,kesejahteraan_1,kesejahteraan_2,kesejahteraan_3,kesejahteraan_4,kesejahteraan_lebih_4,total_krs,tidak_berisiko,baduta,balita,pus,pus_hamil,air_minum_tidak_layak,jamban_tidak_layak,terlalu_muda,terlalu_tua,terlalu_dekat,terlalu_banyak
Sagalaherang,10837,5317,45,33,33,35,208,354,4963,600,1262,5099,132,14,103,31,1051,21,783
Cisalak,12340,8080,192,101,63,57,378,791,7289,669,1695,6386,199,157,215,17,1334,30,1319
Subang,37665,25063,211,163,180,165,1993,2712,22351,1845,4289,18065,321,97,1381,34,4337,139,3662
Kalijati,20617,13904,82,69,52,68,448,719,13185,1148,2367,9950,256,112,175,47,2243,43,1404
Pabuaran,20943,10838,223,112,93,64,510,1002,9836,1160,2457,9979,223,13,486,48,2157,45,1509
Purwadadi,17227,12389,81,47,33,29,289,479,11910,1027,2036,8658,208,59,91,36,2079,37,1269
Pagaden,18104,10336,117,57,43,50,352,619,9717,628,1548,8106,169,52,316,18,1781,28,1242
Binong,16557,9052,93,33,47,27,272,472,8580,1006,1716,7494,211,10,241,46,1641,34,901
Ciasem,25851,16466,261,123,132,75,584,1175,15291,427,1836,12944,304,34,410,27,3121,29,1818
Pusakanagara,12648,8039,51,36,37,48,386,558,7481,378,1384,6381,100,15,124,16,1415,24,1032
Pamanukan,17208,9302,195,96,102,71,619,1083,8219,771,1804,8232,197,20,419,51,1768,42,1290
Jalancagak,13705,8469,53,40,42,22,257,414,8055,501,1590,6736,131,53,29,15,1668,28,1415
Blanakan,16809,11619,541,284,216,165,1033,2239,9380,565,1586,8741,133,74,1472,29,2011,24,1165
Tanjungsiang,15830,8258,98,37,52,42,284,513,7745,967,1828,7365,204,41,174,43,1478,32,1141
Compreng,13263,9005,58,46,53,37,324,518,8487,252,1114,6230,93,4,63,8,1441,11,910
Patokbeusi,23851,14682,386,220,140,141,1009,1896,12786,947,2461,11621,260,236,1320,23,2720,48,1946
Cibogo,15954,9566,42,35,34,37,485,633,8933,991,1921,8139,187,20,148,41,1705,41,1135
Cipunagara,20838,10998,156,62,70,49,469,806,10192,1113,2133,10017,224,44,311,46,2237,28,1048
Cijambe,13685,8552,68,80,66,51,407,672,7880,672,1475,6860,163,85,212,39,1407,21,823
Cipeundeuy,18486,10403,109,48,65,34,356,612,9791,1324,2468,9759,234,65,223,61,2069,47,1282
Legonkulon,8376,4960,55,29,27,19,217,347,4613,581,977,4359,124,10,268,37,940,13,510
Cikaum,16095,9631,270,104,78,57,403,912,8719,834,1849,7960,188,38,401,48,1791,28,1111
Serangpanjang,8865,4854,101,51,44,40,198,434,4420,397,958,4078,100,212,107,26,820,10,563
Sukasari,12397,6620,403,176,151,94,629,1453,5167,509,1150,6254,124,84,1180,24,1404,15,681
Tambakdahan,14168,7370,127,124,106,90,773,1220,6150,509,1248,6517,177,19,960,49,1383,18,941
Kasomalang,13571,8423,121,75,44,27,242,509,7914,752,1753,6950,148,50,122,32,1533,14,1313
Dawuan,14261,6864,33,28,16,25,219,321,6543,777,1403,6104,169,34,68,31,1377,22,791
Pagaden Barat,12273,5724,33,22,29,22,204,310,5414,486,1095,4978,103,23,86,24,1119,15,642
Ciater,9682,7806,27,18,13,24,142,224,7582,506,1095,4850,110,32,77,23,657,10,586
Pusakajaya,12732,9021,36,33,21,29,228,347,8674,272,889,6125,60,6,109,12,1513,18,690
